TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO
304,108,58,1,1,3,8,7,69,2,0,27,0,1,0,0,,,3,,,2,14,304
310,106,62,6,4,5,7,5,79,4,2,24,0,0,0,0,,,0,,,0,6,310
293,102,46,4,0,3,9,4,86,3,0,18,4,0,1,0,,,0,,,0,13,293
286,84,57,2,1,2,8,5,81,3,0,24,3,0,1,0,,,0,,,0,15,286
331,92,64,4,4,1,11,9,84,6,1,27,10,0,0,0,,,4,,,0,14,331
325,97,81,2,5,5,9,11,67,2,2,22,2,0,0,0,,,2,,,2,16,325
415,143,76,5,5,12,8,8,93,1,1,27,3,2,0,0,,,2,,,0,29,415
0,122,80,6,4,2,5,7,127,9,4,22,5,1,2,0,,,0,,,0,25,421
433,127,64,2,5,5,13,6,131,5,3,39,4,0,1,0,,,0,,,2,26,433
283,85,46,3,4,2,13,5,83,5,0,18,0,1,2,0,,,1,,,0,15,283
272,80,40,7,5,7,10,6,69,8,2,21,3,1,0,0,,,1,,,1,12,272
0,110,76,1,4,0,10,7,115,5,4,40,5,1,1,0,,,3,,,0,22,405
420,124,65,2,0,5,12,15,128,7,1,41,4,0,1,0,,,1,,,2,16,420
Sin dato,94,32,6,14,4,11,18,122,12,6,36,0,0,0,0,,,3,,,Sin dato,22,380
386,109,52,3,11,2,9,12,130,5,3,21,7,1,0,0,,,2,,,0,19,386
372,93,33,10,6,4,14,11,144,8,4,22,7,1,3,0,,,1,,,0,11,372
376,74,42,5,4,3,12,9,161,10,10,21,2,3,2,0,,,2,,,0,16,376
Sin dato,105,62,3,5,4,10,10,107,9,4,22,5,0,1,0,,,1,,,0,15,Sin dato
Sin dato,98,63,6,5,1,11,14,112,9,4,22,6,1,3,0,,,3,,,0,11,369
345,85,37,6,4,9,10,8,133,5,7,14,4,3,2,0,,,4,,,0,14,345
325,78,44,8,6,5,14,5,112,6,5,21,6,2,Sin dato,Sin dato,,,1,,,Sin dato,12,325
353,120,35,9,2,2,8,5,98,10,3,30,7,0,1,0,,,3,,,0,13,346
373,112,46,9,11,0,3,7,126,6,5,27,3,1,0,0,,,1,,,1,15,373
384,90,53,8,7,3,10,10,146,8,4,20,8,0,1,0,,,5,,,0,11,384
403,95,61,4,8,2,12,5,146,5,3,34,4,0,1,0,,,4,,,0,19,403
308,80,45,4,6,0,8,7,109,3,6,26,4,Sin dato,Sin dato,Sin dato,,,1,,,Sin dato,9,308
301,95,34,3,5,3,11,8,101,11,2,24,2,1,0,8,,,1,,,0,0,301
300,92,34,5,5,2,6,10,103,4,1,25,1,0,1,1,,,0,,,0,15,300
455,142,55,9,8,4,17,18,136,8,5,35,4,Sin dato,Sin dato,Sin dato,,,6,,,1,14,462
Ilegible,112,59,5,7,4,14,12,133,11,4,33,11,0,1,0,,,4,,,1,20,431
404,82,71,14,8,4,14,10,129,11,5,31,5,1,0,1,,,3,,,1,12,402
389,99,60,11,8,9,9,9,129,4,1,28,2,1,0,0,,,2,,,0,24,389
353,105,33,5,6,7,14,4,101,6,8,32,7,0,0,0,1,,1,,,2,20,352
350,95,41,15,2,4,12,2,102,5,8,37,5,0,0,0,0,,2,,,1,19,350
305,93,23,2,2,6,10,4,108,4,9,22,1,1,2,0,0,,3,,,1,14,305
331,106,25,4,4,6,9,4,106,6,7,34,0,1,1,0,0,,4,,,0,17,334
354,82,48,8,4,6,16,4,9,6,6,31,4,0,4,0,1,,1,,,1,28,354
367,137,33,10,5,7,6,7,94,7,10,27,3,1,0,0,2,,5,,,1,12,367
379,133,43,5,9,7,11,7,95,9,14,23,5,1,2,0,2,,1,,,0,13,379
410,148,51,9,9,7,13,5,96,4,11,38,3,0,0,0,0,,0,,,0,16,410
272,78,27,0,6,2,13,5,95,1,7,18,8,0,2,0,0,,0,,,0,10,272
261,2,50,7,5,0,11,5,81,6,2,14,4,2,0,0,1,,1,,,0,18,261
359,117,47,4,4,4,13,14,93,10,9,33,6,0,2,0,1,,2,,,0,12,371
384,125,34,7,2,7,12,6,126,9,2,27,4,0,0,0,0,,3,,,3,17,384
350,118,46,13,3,7,11,4,81,6,9,31,7,2,1,0,2,,0,,,Sin dato,9,350
388,129,44,2,7,9,20,6,109,9,7,25,4,0,2,0,1,,3,,,0,18,395
360,109,37,5,3,5,18,8,104,8,10,32,5,2,0,0,1,,2,,,0,11,360
Ilegible,103,32,9,Ilegible,6,15,6,106,7,10,39,3,0,1,3,0,,6,,,0,16,367
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,Sin dato,Sin dato,Sin dato
380,95,47,8,8,7,13,7,111,15,9,34,6,0,1,0,1,,2,,,Sin dato,16,380
398,117,41,10,3,2,10,7,120,14,10,36,4,1,2,0,0,,2,,,1,18,398
391,112,32,10,6,5,24,6,124,10,12,27,5,1,1,0,3,,1,,,1,11,391
322,102,26,7,6,8,11,6,99,8,11,23,4,0,0,0,0,,1,,,0,10,322
326,102,43,7,4,5,11,5,Ilegible,6,6,20,3,1,0,0,0,,1,,,0,10,326
,,,,,,,,,,,,,,,,,,,,,,,
0,109,46,5,6,4,11,3,91,6,5,25,1,2,1,0,1,,1,,,0,12,329
332,99,37,4,8,6,10,2,111,7,7,26,2,0,0,0,1,,2,,,0,10,332
329,87,35,7,8,5,13,11,96,9,5,26,8,0,1,0,3,,1,,,0,14,329
331,98,33,6,5,2,10,12,90,5,4,34,8,2,0,0,2,,3,,,0,17,Sin dato
431,115,44,8,7,10,25,9,122,6,15,38,3,1,2,0,0,,5,,,3,18,431
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
450,129,46,9,2,7,22,8,138,4,10,39,6,0,2,0,0,,5,,,0,23,450
409,110,45,6,6,14,12,7,125,8,11,43,8,0,1,0,1,,1,,,0,11,409
471,141,46,3,6,6,19,10,158,6,13,37,5,1,1,1,1,,1,,,0,17,472
431,127,39,4,6,7,18,5,125,7,16,52,3,0,2,0,1,,3,,,0,12,440
439,120,50,14,2,9,17,8,134,6,11,42,5,0,1,0,2,,3,,,0,15,439
,,,,,,,,,,,,,,,,,,,,,,,
439,118,52,11,4,6,13,4,126,16,9,47,4,2,0,0,1,,5,,,1,20,439
417,Ilegible,33,3,4,7,18,5,151,8,6,32,4,0,0,0,0,,1,,,0,12,419
473,139,43,10,9,3,13,5,173,6,9,35,7,0,0,0,0,,5,,,1,15,Ilegible
Sin dato,134,36,8,4,5,15,4,160,8,5,36,7,2,2,Sin dato,Sin dato,,1,,,Sin dato,15,442
299,83,30,6,7,2,17,7,93,3,1,22,6,1,0,0,1,,4,,,1,15,299
328,111,36,11,2,3,13,4,92,3,3,30,5,1,0,1,3,,0,,,0,10,328
323,106,50,5,5,3,18,5,64,4,7,33,3,1,1,0,1,,0,,,0,17,323
328,104,43,8,6,5,6,5,90,7,2,25,1,1,0,0,0,,3,,,1,11,328
365,119,28,5,3,8,24,5,93,6,11,35,4,2,1,0,0,,2,,,1,18,365
361,100,39,10,5,6,12,5,112,6,10,29,6,1,1,0,0,,1,,,0,18,361
346,113,34,4,3,3,13,7,101,9,7,26,2,0,3,0,1,,3,,,0,17,346
Ilegible,87,42,5,6,8,15,5,120,6,7,31,0,0,1,1,3,,3,,,2,13,355
411,121,43,8,3,2,19,7,121,4,13,32,7,3,1,0,3,,5,,,1,17,410
422,112,49,5,4,10,18,6,119,6,4,44,13,0,4,0,2,,2,,,1,23,422
345,86,41,9,3,4,13,7,114,8,6,32,3,2,0,0,1,,2,,,1,9,341
Sin dato,78,40,10,4,1,11,8,119,11,9,28,4,2,1,0,1,,1,,,Sin dato,21,Sin dato
345,85,42,4,2,2,19,4,109,9,6,17,4,0,0,0,1,,10,,,Sin dato,31,345
369,101,47,9,4,7,12,5,132,6,6,22,4,1,2,0,0,,0,,,0,11,369
295,93,33,3,4,7,15,4,78,2,7,19,2,0,0,2,2,,3,,,1,20,295
316,115,40,5,5,4,12,3,83,3,3,21,3,0,0,0,2,,4,,,1,12,316
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,Sin dato,Sin dato,Sin dato
15,97,34,8,10,10,13,5,134,6,4,15,6,2,0,0,1,,2,,,0,15,352
337,107,37,7,6,5,14,6,84,15,11,0,4,0,3,29,1,,2,,,0,12,Ilegible
Sin dato,74,31,1,3,7,5,5,138,15,7,23,8,1,0,1,2,,0,,,1,14,336
Sin dato,91,44,8,4,7,14,8,150,6,12,40,4,0,1,0,1,,1,,,0,11,402
