TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO
513,189,56,7,10,23,26,6,131,4,4,18,6,0,0,0,4,,,,,0,13,513
372,149,35,6,1,9,18,9,87,6,4,0,2,0,2,0,0,,,,,0,22,372
377,146,46,5,5,13,20,4,100,4,3,11,1,0,0,0,4,,,,,0,6,377
440,192,45,3,4,8,14,10,98,4,2,13,3,0,0,0,5,,,,,1,23,440
442,143,46,4,5,12,16,12,98,12,48,18,4,0,1,0,1,,,,,0,16,442
409,159,46,6,11,14,10,4,77,7,14,27,3,2,0,0,0,,,,,0,20,409
418,154,48,6,5,14,12,5,94,6,24,18,2,1,0,0,1,,,,,0,22,418
Sin dato,189,59,3,7,17,8,4,98,4,1,28,4,0,1,0,1,,,,,1,Sin dato,462
428,185,56,6,4,10,16,6,104,3,0,16,0,1,0,0,1,,,,,0,16,428
Sin dato,179,30,7,6,12,24,8,79,12,3,21,6,2,0,0,0,,,,,1,12,414
Sin dato,108,26,2,10,11,10,5,74,11,3,23,0,2,0,0,3,,,,,0,11,303
491,246,57,7,11,25,15,3,82,2,0,19,2,1,Sin dato,Sin dato,1,,,,,Sin dato,7,491
367,193,38,4,1,15,6,7,55,1,3,11,2,2,1,0,3,,,,,1,13,367
342,159,26,6,5,14,11,7,69,7,1,16,2,0,0,0,0,,,,,1,10,342
309,139,32,2,3,9,9,2,56,4,1,14,3,2,1,0,0,,,,,0,18,309
500,144,44,0,2,13,19,21,76,4,0,14,1,1,0,0,0,,,,,0,14,365
345,125,51,3,5,10,14,5,85,4,1,16,3,0,0,0,2,,,,,0,8,345
333,142,54,2,3,6,9,5,78,4,1,11,1,0,0,0,0,,,,,0,12,333
407,170,37,6,2,18,19,3,83,2,3,23,1,1,0,0,0,,,,,0,25,Sin dato
Ilegible,169,45,2,7,15,14,5,71,6,4,22,2,1,0,0,1,,,,,Ilegible,17,389
0,120,28,4,3,11,14,6,66,3,4,14,3,Sin dato,Sin dato,Sin dato,Sin dato,,,,,Sin dato,13,297
312,121,31,4,3,9,12,6,82,4,1,17,4,1,1,1,1,,,,,1,8,Sin dato
343,139,47,3,4,4,12,9,73,4,6,10,1,0,1,0,3,,,,,0,13,343
270,119,26,5,5,10,14,3,61,0,1,10,2,0,1,0,0,,,,,0,6,270
347,152,29,10,3,13,18,3,62,2,2,17,3,0,0,0,1,,,,,2,16,347
352,152,30,6,8,14,15,8,80,1,1,13,3,0,0,0,1,,,,,1,12,352
529,243,42,10,9,23,22,4,101,7,1,21,7,2,0,0,1,,,,,1,15,529
499,171,44,8,5,23,25,5,123,10,0,38,8,0,0,0,0,,,,,Sin dato,25,499
511,184,51,4,12,29,17,8,110,6,36,3,9,2,Sin dato,Sin dato,2,,,,,1,16,511
377,135,52,7,5,20,21,7,70,9,2,15,4,1,1,0,0,,,,,0,17,377
331,124,46,4,4,19,13,2,72,10,1,18,3,1,0,0,2,,,,,0,20,351
361,149,45,6,5,21,9,5,80,4,0,17,2,1,0,0,0,,,,,1,13,361
366,157,49,3,4,20,15,5,61,3,3,15,0,0,0,0,2,,,,,1,24,366
364,169,46,3,3,14,17,4,57,5,1,18,4,0,0,0,0,,,,,0,8,364
1,164,24,2,1,8,5,0,41,3,1,9,3,0,1,6,4,,,,,0,8,288
286,82,33,4,3,3,17,3,80,10,2,18,6,1,1,0,2,,,,,1,11,286
295,72,53,7,1,8,13,5,68,11,2,24,4,2,3,0,3,,,,,1,11,295
Sin dato,108,29,5,4,6,17,6,72,8,Sin dato,18,2,1,1,0,3,,,,,Sin dato,12,Ilegible
Sin dato,182,42,10,5,16,16,4,103,6,5,21,1,1,0,0,1,,,,,1,12,436
439,197,52,4,8,20,17,4,76,8,5,12,2,2,2,0,0,,,,,0,14,438
292,150,22,7,0,10,10,2,56,2,0,12,1,0,0,0,0,,,,,0,8,292
298,129,19,7,2,12,11,3,71,7,3,12,0,0,1,0,0,,,,,0,9,298
435,168,44,7,2,24,20,3,104,6,6,28,1,0,0,0,0,,,,,0,14,435
417,142,53,5,5,17,19,3,91,7,4,32,1,0,1,0,2,,,,,0,16,417
396,190,42,1,7,12,18,4,77,4,3,6,2,0,0,0,0,,,,,0,15,396
404,184,36,7,5,11,14,7,79,9,4,20,2,1,0,0,0,,,,,0,17,404
403,183,55,5,5,12,13,3,77,3,1,15,0,0,1,0,1,,,,,0,15,403
405,165,45,4,7,12,20,6,102,5,3,13,3,0,1,0,4,,,,,0,4,405
462,190,62,7,6,12,21,4,95,7,3,23,6,0,0,0,0,,,,,0,12,462
371,153,51,3,5,13,15,5,84,1,1,13,6,2,0,0,3,,,,,2,13,375
Sin dato,146,38,2,9,17,14,3,93,6,0,20,7,1,1,0,0,,,,,0,16,Sin dato
355,160,58,6,1,12,11,3,58,2,2,15,3,0,0,0,3,,,,,1,8,355
2,101,85,8,7,17,22,3,28,9,0,3,1,0,0,0,0,,,,,0,47,335
333,99,76,7,10,13,21,11,50,9,5,5,Sin dato,Sin dato,1,Sin dato,Sin dato,,,,,Sin dato,20,333
367,99,85,7,13,28,21,10,47,6,6,3,0,0,0,0,1,,,,,0,38,367
289,104,71,6,9,11,19,3,15,3,5,7,0,0,0,0,0,,,,,0,31,289
,,,,,,,,,,,,,,,,,,,,,,,
245,82,64,2,7,13,15,3,23,3,4,7,1,0,0,0,0,,,,,0,21,245
273,95,73,3,12,8,19,3,29,4,5,2,0,0,0,0,0,,,,,1,17,273
245,91,64,4,4,9,11,2,22,4,2,4,0,1,0,0,2,,,,,0,21,245
347,122,87,14,13,5,15,9,43,6,2,5,0,1,2,0,0,,,,,0,20,347
338,132,94,16,14,4,16,18,25,4,4,2,0,0,1,0,2,,,,,0,6,338
,,,,,,,,,,,,,,,,,,,,,,,
233,100,22,5,1,15,15,5,44,7,2,2,0,0,1,0,0,,,,,0,14,233
266,101,30,5,2,16,4,9,70,4,3,5,1,0,1,0,1,,,,,0,14,216
378,104,134,22,6,5,25,6,29,4,7,7,0,0,0,0,3,,,,,0,25,378
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,,,,Ilegible,Ilegible,Ilegible
339,113,88,12,12,12,16,0,22,1,24,2,0,0,5,0,3,,,,,0,25,339
325,107,77,19,7,15,20,3,23,3,20,7,Sin dato,Sin dato,Sin dato,Sin dato,6,,,,,Sin dato,20,329
318,107,71,16,9,13,17,3,26,7,18,5,1,0,0,1,1,,,,,Sin dato,20,318
389,197,57,7,13,11,8,2,56,3,3,9,0,0,1,0,3,,,,,0,15,389
366,168,64,8,9,16,9,7,34,12,5,12,2,1,0,0,3,,,,,0,15,367
390,Ilegible,51,4,6,15,8,3,46,3,4,8,3,0,0,0,0,,,,,1,8,390
344,147,64,16,10,16,7,3,46,10,7,6,1,0,0,0,0,,,,,0,9,344
216,102,76,15,7,10,22,3,23,5,18,10,0,0,0,0,1,,,,,0,15,266
298,115,74,25,7,8,7,3,16,5,10,10,2,1,0,0,1,,,,,0,12,298
430,98,67,46,9,20,35,33,59,15,5,3,0,0,1,0,3,,,,,0,34,430
391,95,72,24,10,14,39,31,38,8,4,4,0,0,2,0,2,,,,,0,44,391
417,107,75,34,10,16,27,27,42,5,10,3,0,1,0,0,3,,,,,0,56,417
313,94,56,19,7,26,18,8,24,7,18,5,0,0,1,0,1,,,,,0,20,313
290,Ilegible,45,20,11,18,19,4,16,5,17,2,0,0,2,0,0,,,,,0,30,290
344,153,81,4,11,4,19,3,15,2,0,0,2,0,0,0,4,,,,,0,21,344
360,180,69,4,5,10,12,4,23,2,3,6,0,0,0,0,5,,,,,0,33,360
349,168,54,4,12,7,26,3,22,10,6,8,2,0,0,1,1,,,,,1,18,349
362,189,69,2,8,13,6,5,23,9,9,5,1,0,1,0,2,,,,,0,18,362
280,120,45,9,5,11,16,5,17,6,2,7,0,0,0,0,0,,,,,0,33,280
371,119,111,27,1,17,23,3,5,18,5,0,1,1,0,0,3,,,,,0,15,371
377,126,112,12,9,19,16,3,15,6,25,6,0,1,0,0,2,,,,,0,21,377
370,129,65,12,20,33,18,2,37,2,8,2,1,0,0,0,1,,,,,0,37,370
412,158,89,7,15,43,18,4,43,8,1,3,0,0,1,0,1,,,,,0,21,412
236,94,47,16,4,20,13,4,9,3,6,2,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,,Sin dato,18,236
253,117,47,8,3,22,12,2,15,3,3,6,0,0,0,0,0,,,,,0,14,253
212,86,63,10,2,8,10,1,13,4,2,0,0,0,0,0,0,,,,,0,14,213
Sin dato,83,50,10,6,8,8,2,8,2,2,2,0,0,0,0,1,,,,,0,12,198
340,121,103,3,12,18,10,5,32,1,4,2,1,0,0,0,2,,,,,0,26,340
272,100,60,7,5,7,13,6,20,9,1,0,1,1,1,0,1,,,,,0,35,Sin dato
281,94,65,5,15,11,18,4,37,6,0,4,2,0,1,0,0,,,,,0,17,281
322,115,59,9,14,16,17,5,27,8,2,2,3,1,1,0,0,,,,,0,41,322
317,96,52,4,9,13,17,5,55,11,1,7,0,0,0,1,0,,,,,1,38,317
338,100,54,4,35,8,22,10,57,3,2,6,0,1,4,1,0,,,,,0,29,338
420,149,145,8,8,16,11,3,39,1,2,8,0,0,0,0,12,,,,,1,17,420
Sin dato,178,125,3,17,16,12,2,29,Ilegible,Ilegible,Ilegible,Sin dato,Sin dato,Sin dato,Sin dato,3,,,,,Sin dato,7,Sin dato
325,125,124,5,5,13,8,1,23,0,1,4,0,0,0,0,6,,,,,1,8,325
318,101,131,6,15,4,10,0,27,0,3,5,0,0,0,0,3,,,,,0,13,318
331,129,112,4,7,12,4,2,24,4,1,8,3,1,0,0,5,,,,,0,15,331
354,123,129,3,6,19,8,3,31,3,1,3,0,0,0,0,2,,,,,0,21,354
342,148,92,7,16,16,5,0,28,2,2,7,0,1,0,0,1,,,,,0,17,342
141,83,30,2,2,3,2,0,11,3,0,3,0,0,0,0,0,,,,,0,2,141
361,154,88,6,25,26,5,1,26,5,3,4,0,0,0,0,7,,,,,0,11,361
400,124,124,2,21,27,14,1,41,3,0,3,2,0,0,0,6,,,,,Sin dato,9,400
353,116,107,2,10,27,12,2,42,7,2,9,0,0,0,0,3,,,,,0,15,354
Sin dato,160,112,5,5,18,14,1,25,0,1,9,1,0,0,0,6,,,,,0,18,375
0,153,110,3,4,19,8,5,29,1,1,5,0,0,1,0,6,,,,,0,10,355
371,150,131,2,10,10,8,2,34,1,0,7,1,1,1,0,3,,,,,0,10,371
277,174,59,1,0,4,6,2,11,2,0,0,2,0,0,0,2,,,,,0,14,277
268,149,60,1,4,3,10,0,11,0,1,1,2,0,0,0,8,,,,,0,18,Sin dato
Sin dato,244,136,5,6,6,11,3,25,9,0,3,2,0,0,0,6,,,,,Sin dato,24,480
396,212,111,3,0,6,9,2,14,1,2,3,0,0,0,0,8,,,,,0,25,396
400,202,124,9,4,2,9,4,22,4,0,2,Sin dato,Sin dato,Sin dato,Sin dato,2,,,,,Sin dato,20,Sin dato
360,202,94,3,1,1,6,3,9,0,1,0,0,0,1,0,18,,,,,0,21,360
,,,,,,,,,,,,,,,,,,,,,,,
349,259,59,1,1,4,3,0,7,2,2,1,0,1,0,0,4,,,,,0,4,348
310,158,103,2,2,4,8,1,6,2,0,0,2,0,0,0,8,,,,,0,14,310
329,152,99,4,4,10,11,3,10,3,2,0,0,1,1,0,12,,,,,0,17,329
314,155,69,0,2,14,12,0,26,5,2,6,0,0,0,1,5,,,,,0,17,314
314,162,73,3,4,5,9,2,25,6,1,8,0,1,0,0,1,,,,,0,14,314
367,194,78,2,7,10,12,0,23,9,2,9,0,0,0,0,11,,,,,0,10,367
0,120,103,7,1,2,9,6,14,6,1,3,0,0,1,0,14,,,,,1,17,305
0,122,107,2,3,1,6,6,18,7,1,4,3,0,0,0,0,,,,,13,13,299
,,,,,,,,,,,,,,,,,,,,,,,
308,153,80,5,5,3,9,2,17,1,0,15,0,1,0,0,4,,,,,Sin dato,12,Sin dato
251,120,68,3,2,0,9,6,18,1,1,4,2,0,0,1,7,,,,,0,9,251
257,159,53,3,3,3,3,2,17,1,1,4,0,0,0,0,3,,,,,0,5,257
487,147,140,2,2,3,1,19,5,0,6,6,3,0,2,0,26,,,,,0,22,488
485,228,141,5,1,11,6,8,27,3,1,3,4,0,0,0,18,,,,,0,29,485
356,146,97,4,3,13,7,5,35,6,4,10,4,0,0,0,5,,,,,0,16,355
328,155,58,7,5,18,14,1,44,4,2,3,1,0,0,0,2,,,,,0,15,329
425,Ilegible,127,2,4,7,7,4,49,9,0,5,0,0,2,1,5,,,,,0,33,425
Sin dato,165,118,7,6,5,14,12,42,7,2,7,4,0,0,0,15,,,,,1,45,450
Sin dato,182,109,7,3,4,15,4,23,1,0,1,4,0,2,0,9,,,,,0,44,408
365,228,71,5,2,3,12,1,20,2,0,2,0,0,1,0,0,,,,,0,18,365
368,212,73,2,1,7,8,3,18,6,1,8,0,3,0,0,2,,,,,0,24,368
476,229,139,3,6,6,14,1,31,4,2,4,3,0,0,0,7,,,,,0,27,476
494,254,131,3,7,11,14,5,33,2,0,6,0,0,0,0,11,,,,,0,23,500
459,214,150,4,3,4,20,3,16,2,4,3,2,1,2,0,12,,,,,0,20,460
433,199,107,9,1,5,6,5,40,3,0,8,1,1,0,0,4,,,,,0,44,433
434,186,104,6,1,7,13,6,54,6,3,5,5,0,1,1,5,,,,,0,31,434
425,168,114,3,6,2,13,4,41,5,0,5,3,0,0,0,11,,,,,0,50,425
444,178,120,8,2,8,5,6,60,10,0,5,1,1,1,1,7,,,,,0,31,444
289,153,71,2,1,10,3,13,2,0,1,0,0,0,0,0,8,,,,,0,23,289
317,144,115,5,2,2,6,2,15,0,0,1,1,0,0,0,9,,,,,Sin dato,15,Sin dato
291,131,90,1,5,5,7,2,24,6,0,1,0,0,0,0,0,,,,,0,19,291
281,182,41,1,1,7,3,0,26,0,3,0,2,0,0,0,1,,,,,0,14,281
Sin dato,142,132,7,5,24,13,10,41,2,4,7,0,0,0,0,16,,,,,Sin dato,21,Sin dato
316,171,66,5,1,12,6,1,18,6,0,5,2,0,0,0,5,,,,,0,18,316
286,154,48,2,2,7,9,1,29,2,0,6,1,1,2,0,6,,,,,0,16,286
348,159,80,6,2,0,12,1,54,4,0,2,0,0,0,0,8,,,,,1,19,348
Sin dato,152,90,1,4,1,10,1,28,7,2,1,0,0,2,0,9,,,,,0,21,329
1,189,147,9,8,4,13,6,28,4,4,5,0,0,1,0,20,,,,,1,16,455
438,160,177,5,3,3,12,3,35,3,3,9,2,1,0,0,9,,,,,0,13,438
449,206,145,5,5,7,11,Sin dato,27,3,Sin dato,10,Sin dato,1,Sin dato,5,6,,,,,Sin dato,18,449
547,254,155,5,8,1,8,3,29,2,18,4,2,1,0,0,14,,,,,0,43,547
553,263,133,7,7,2,7,6,36,9,21,16,3,0,0,1,9,,,,,0,33,553
547,243,159,3,5,0,10,2,35,7,11,10,3,0,1,0,21,,,,,0,37,547
,,,,,,,,,,,,,,,,,,,,,,,
390,191,117,2,3,3,9,1,25,3,3,4,0,0,0,0,9,,,,,0,20,390
282,112,114,4,3,5,9,4,13,3,0,7,Sin dato,Sin dato,Sin dato,Sin dato,5,,,,,Sin dato,13,282
421,193,136,2,1,7,8,1,25,3,2,2,0,0,0,0,4,,,,,0,37,421
203,146,24,6,2,0,2,2,7,0,0,3,0,0,0,0,1,,,,,0,10,203
329,241,34,1,1,0,5,5,19,1,1,3,3,0,0,0,4,,,,,1,10,329
320,169,79,3,0,1,5,4,24,1,0,20,0,0,1,0,13,,,,,0,15,335
348,165,87,2,1,1,7,4,24,4,0,13,0,0,0,0,12,,,,,Sin dato,28,348
Sin dato,163,74,0,3,2,4,3,11,3,2,2,0,0,0,0,5,,,,,0,13,285
292,158,81,4,3,1,8,1,15,1,1,2,0,0,0,0,5,,,,,0,11,292
288,126,81,2,1,4,6,6,16,8,0,1,1,0,0,0,9,,,,,0,27,287
279,129,74,2,0,1,6,2,26,3,1,8,1,0,0,0,6,,,,,1,22,282
Ilegible,180,84,2,6,11,5,Sin dato,24,Sin dato,6,10,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,,Sin dato,Sin dato,Sin dato
302,171,56,0,3,2,4,3,20,2,0,15,0,1,0,0,9,,,,,0,15,302
237,127,67,1,0,3,6,0,17,0,0,1,0,0,0,0,6,,,,,0,9,237
247,116,60,7,0,1,5,2,15,2,0,3,0,0,0,1,10,,,,,2,23,247
237,128,51,2,0,0,4,2,18,1,0,1,0,0,0,0,6,,,,,0,24,237
349,145,108,5,1,7,8,5,26,2,3,0,1,0,0,0,9,,,,,1,27,348
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,203,91,11,0,2,9,5,39,9,1,9,2,0,1,0,21,,,,,0,31,434
446,206,101,16,3,8,7,5,32,8,2,3,3,1,2,0,12,,,,,0,37,446
447,197,94,21,2,5,12,7,31,9,1,12,1,1,2,0,15,,,,,0,37,447
467,273,79,7,1,6,6,5,32,8,0,5,1,0,0,0,2,,,,,0,42,467
397,146,39,9,7,6,13,4,120,8,3,20,4,1,1,0,2,,,,,0,14,397
394,154,36,8,6,9,10,7,112,5,4,19,4,1,0,0,3,,,,,0,16,394
384,133,53,5,5,8,18,8,109,7,0,20,5,2,1,0,1,,,,,0,9,384
379,137,37,2,8,8,10,9,116,9,4,24,3,0,0,0,1,,,,,0,11,379
363,144,45,5,4,8,11,5,101,5,4,21,1,2,0,0,0,,,,,0,9,363
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,,Sin dato,Sin dato,Sin dato
466,183,64,8,4,4,18,5,119,4,3,25,5,0,0,0,2,,,,,0,22,466
429,162,76,8,5,3,13,4,107,7,3,14,2,2,1,0,3,,,,,0,19,429
458,179,47,6,5,3,17,1,120,11,2,21,2,0,1,0,3,,,,,0,13,458
448,175,71,4,4,5,13,3,110,8,2,21,5,0,0,0,4,,,,,3,20,448
411,140,89,2,5,5,16,10,97,6,2,20,2,0,0,1,3,,,,,0,13,411
389,145,71,5,6,4,9,4,90,3,5,26,5,1,1,1,3,,,,,0,10,389
427,150,89,6,8,3,10,4,97,3,2,24,2,1,1,4,5,,,,,0,18,427
440,171,79,2,9,7,9,0,107,1,3,29,5,1,0,6,2,,,,,1,8,440
449,187,86,4,8,5,5,6,104,7,4,14,2,0,0,0,3,,,,,0,14,449
414,182,67,10,8,6,10,3,70,3,3,22,2,1,0,0,1,,,,,0,26,414
415,193,57,8,12,8,15,5,82,1,5,15,3,0,1,0,0,,,,,0,10,415
355,115,63,2,2,5,5,5,99,2,2,27,5,1,0,0,2,,,,,0,20,355
401,147,72,5,1,10,11,8,80,6,5,22,1,1,1,1,3,,,,,1,26,401
268,94,43,4,5,4,7,2,71,2,6,15,4,1,0,0,0,,,,,0,10,268
286,86,49,2,6,3,7,7,75,6,2,18,6,0,0,0,2,,,,,0,16,286
372,138,67,3,10,3,8,4,97,4,1,15,2,0,0,0,4,,,,,1,15,372
402,153,85,1,7,8,9,6,92,5,3,10,1,0,0,0,3,,,,,0,19,402
457,177,82,5,6,5,8,11,100,4,3,21,4,0,0,0,3,,,,,2,26,457
474,169,100,7,6,6,9,3,103,6,4,19,10,1,1,0,3,,,,,1,26,474
0,68,51,1,6,7,5,10,64,5,1,11,0,0,0,0,3,,,,,2,14,248
262,72,53,3,6,8,8,2,69,2,3,15,2,2,1,0,3,,,,,0,13,262
460,132,65,13,3,13,20,14,130,3,5,35,7,1,0,0,4,,,,,3,12,460
457,144,108,7,7,6,11,13,96,11,2,23,5,1,0,0,2,,,,,0,21,457
476,191,66,6,5,7,10,5,118,0,2,28,5,0,0,5,3,,,,,2,23,473
476,189,66,11,2,4,18,2,106,6,6,21,9,1,0,1,3,,,,,3,28,476
25,9,6,0,0,0,0,0,7,2,0,1,0,0,0,0,0,,,,,0,0,25
22,8,6,0,0,1,1,1,4,0,0,0,0,0,0,0,0,,,,,0,1,22
321,90,62,7,3,5,4,8,72,4,6,33,6,0,0,0,3,,,,,1,17,321
337,96,72,5,4,9,10,6,77,6,5,23,3,0,2,1,3,,,,,3,11,337
318,66,51,5,3,3,17,7,86,5,3,36,11,1,Ilegible,0,2,,,,,1,20,318
307,75,48,8,3,0,4,8,93,3,6,37,1,2,0,1,2,,,,,0,16,307
0,79,62,9,8,2,14,3,89,6,5,14,0,0,1,6,4,,,,,1,18,320
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,,Sin dato,Sin dato,Sin dato
352,92,75,7,2,8,13,4,80,6,3,29,4,1,5,0,2,,,,,2,19,352
359,87,70,3,2,4,23,3,87,7,4,36,3,0,1,0,4,,,,,0,25,359
337,67,81,7,4,6,6,9,92,6,2,30,5,2,0,0,4,,,,,0,16,337
339,61,82,7,3,8,6,7,88,6,3,41,4,2,0,0,2,,,,,1,18,339
366,130,58,9,2,4,5,2,108,3,6,19,4,0,1,0,0,,,,,1,14,366
348,109,80,4,9,6,6,1,86,4,3,18,3,0,3,1,2,,,,,1,12,348
393,107,96,7,6,5,17,5,96,7,2,24,3,1,0,2,0,,,,,1,15,393
396,98,84,6,5,6,22,8,109,8,1,20,7,1,0,1,3,,,,,1,16,396
372,101,44,7,6,4,28,7,107,7,6,19,3,2,0,0,4,,,,,1,20,377
370,115,52,5,1,3,16,9,114,9,6,9,6,3,0,0,5,,,,,0,17,370
346,101,50,8,5,8,12,9,102,7,2,27,1,0,2,0,2,,,,,0,11,346
Sin dato,96,56,6,5,6,11,3,86,7,8,40,7,1,1,0,3,,,,,1,16,353
,,,,,,,,,,,,,,,,,,,,,,,
0,26,18,4,2,2,2,3,45,1,2,10,1,0,0,0,0,,,,,0,4,120
25,5,0,0,1,0,0,0,8,0,1,1,1,0,0,0,1,,,,,0,7,25
450,107,113,11,2,6,16,13,128,8,7,13,8,0,0,0,5,,,,,0,13,450
393,71,103,5,3,4,19,13,111,11,1,20,5,0,1,0,5,,,,,0,21,393
424,82,99,7,6,9,30,6,111,8,4,22,6,1,4,0,6,,,,,0,23,424
424,75,100,4,4,6,23,11,133,13,2,15,8,1,3,1,5,,,,,0,20,424
463,170,42,6,17,4,14,13,113,15,4,28,7,3,3,2,2,,,,,Sin dato,20,463
,,,,,,,,,,,,,,,,,,,,,,,
403,154,48,14,18,2,9,6,94,10,2,18,2,3,3,0,1,,,,,0,20,404
,,,,,,,,,,,,,,,,,,,,,,,
453,151,84,20,12,3,20,6,107,11,2,19,2,1,3,0,1,,,,,0,11,453
475,148,100,7,11,4,20,119,118,6,7,17,6,0,0,0,2,,,,,1,19,475
480,153,101,7,6,4,15,0,136,8,4,16,1,1,2,2,1,,,,,0,23,480
464,137,86,8,5,9,5,5,143,14,6,16,6,2,1,0,5,,,,,0,16,464
335,111,83,2,2,4,13,6,58,7,6,10,4,2,0,1,8,,,,,0,18,335
361,87,72,8,4,5,16,2,118,10,2,13,5,1,1,0,2,,,,,0,15,361
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,,,,Ilegible,Ilegible,Ilegible
306,94,68,3,12,4,14,5,66,5,8,5,3,3,1,0,1,,,,,0,14,306
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,,Sin dato,Sin dato,Sin dato
Sin dato,160,59,4,4,4,22,10,55,7,1,8,1,4,2,0,6,,,,,0,16,363
Sin dato,136,86,8,5,4,21,4,66,8,7,15,4,0,0,0,2,,,,,0,1,368
338,123,57,6,1,5,18,11,73,11,1,7,8,0,3,1,3,,,,,0,10,338
394,126,82,10,3,4,23,15,65,15,2,2,3,3,3,0,5,,,,,0,33,394
152,49,33,1,0,2,20,4,17,7,0,5,1,0,0,0,4,,,,,0,9,158
175,52,54,5,2,1,4,3,31,11,0,1,2,0,0,1,1,,,,,0,8,175
129,61,31,3,0,1,4,5,14,3,2,0,1,0,0,0,0,,,,,0,4,129
133,38,50,2,2,0,4,3,15,1,1,2,4,0,0,0,2,,,,,0,9,133
409,66,144,7,2,6,26,1,84,13,3,6,4,0,5,2,1,,,,,2,28,409
Sin dato,64,171,7,4,6,26,7,73,12,5,11,Sin dato,10,Sin dato,Sin dato,9,,,,,Sin dato,16,422
489,119,215,3,5,4,11,2,29,6,3,11,1,3,1,0,8,,,,,0,68,489
487,80,273,3,5,7,16,5,41,6,4,10,1,0,0,0,16,,,,,0,19,486
361,46,223,2,8,0,18,3,22,8,1,6,2,0,0,1,9,,,,,0,12,361
458,126,113,8,3,8,45,9,69,2,7,16,4,1,1,1,8,,,,,0,37,458
407,111,122,6,4,10,27,7,56,7,7,7,7,0,1,1,Ilegible,,,,,0,26,407
420,75,216,8,4,5,25,0,66,6,0,2,0,0,0,0,0,,,,,0,14,421
409,98,175,6,7,12,21,1,46,6,5,5,Sin dato,Ilegible,6,Sin dato,3,,,,,Sin dato,18,409
Sin dato,82,115,4,2,4,16,1,27,9,0,0,1,0,0,0,3,,,,,0,17,281
377,103,158,5,3,4,4,2,0,5,3,3,2,35,0,3,34,,,,,0,13,Sin dato
Sin dato,39,174,5,4,0,25,4,31,4,1,1,0,1,0,0,7,,,,,0,16,312
221,62,72,5,1,0,3,5,34,6,0,1,1,0,0,1,6,,,,,0,24,221
254,42,142,2,3,1,12,0,22,4,0,0,4,1,1,0,3,,,,,0,17,254
434,156,36,7,6,18,12,2,125,4,3,11,5,2,2,0,1,,,,,0,22,434
409,107,42,5,6,20,22,4,126,8,4,12,5,0,2,1,3,,,,,0,13,409
0,131,33,3,3,12,10,3,137,4,7,17,0,1,0,0,1,,,,,2,20,412
38,13,7,0,0,0,0,0,10,1,0,2,1,0,0,0,1,,,,,0,1,38
376,143,44,5,7,11,10,5,86,8,10,12,6,2,2,0,1,,,,,0,10,376
386,144,40,4,6,11,18,2,105,4,2,15,7,0,0,0,1,,,,,0,11,386
386,142,45,6,4,9,13,3,92,4,9,18,8,2,1,0,0,,,,,0,11,386
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,128,32,8,6,18,11,6,74,9,4,12,Sin dato,Sin dato,1,Sin dato,1,,,,,Sin dato,12,Sin dato
444,160,57,8,3,9,16,6,115,10,6,11,2,1,0,0,0,,,,,0,21,444
444,150,44,2,6,15,13,4,130,2,9,20,2,1,0,0,0,,,,,1,17,444
315,114,26,2,2,13,5,3,86,5,13,10,6,0,1,0,3,,,,,1,8,Sin dato
318,115,29,3,5,7,7,5,90,3,5,15,3,1,0,0,1,,,,,1,10,318
380,129,26,1,4,22,10,9,117,6,9,12,6,1,0,0,0,,,,,3,9,380
401,136,23,2,6,24,4,6,123,8,6,16,6,1,0,0,0,,,,,0,15,401
377,118,22,6,7,21,5,3,121,5,10,9,7,1,0,0,1,,,,,0,18,377
441,153,47,2,3,20,9,5,118,4,6,15,6,0,0,0,5,,,,,0,17,441
Sin dato,153,43,3,8,21,15,10,116,7,7,13,1,1,6,0,0,,,,,1,14,444
